case_id,variant,instruction_strength_used,attempts_needed,output_script_classified,adherent
boiling_point_water_c__en,en,original_same_language,1,roman,True
boiling_point_water_c__en,en,strict_roman_forbidden_devanagari,1,roman,True
boiling_point_water_c__hi,hi,original_same_language,1,devanagari,True
boiling_point_water_c__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
boiling_point_water_c__hinglish,hinglish,original_same_language,1,devanagari,False
boiling_point_water_c__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
capital_maharashtra__en,en,original_same_language,1,roman,True
capital_maharashtra__en,en,strict_roman_forbidden_devanagari,1,roman,True
capital_maharashtra__hi,hi,original_same_language,1,devanagari,True
capital_maharashtra__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
capital_maharashtra__hinglish,hinglish,original_same_language,1,roman,True
capital_maharashtra__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
days_in_leap_year__en,en,original_same_language,1,roman,True
days_in_leap_year__en,en,strict_roman_forbidden_devanagari,1,roman,True
days_in_leap_year__hi,hi,original_same_language,1,devanagari,True
days_in_leap_year__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
days_in_leap_year__hinglish,hinglish,original_same_language,1,devanagari,False
days_in_leap_year__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
father_of_nation_india__en,en,original_same_language,1,roman,True
father_of_nation_india__en,en,strict_roman_forbidden_devanagari,1,roman,True
father_of_nation_india__hi,hi,original_same_language,1,empty,False
father_of_nation_india__hi,hi,strict_roman_forbidden_devanagari,5,empty,False
father_of_nation_india__hinglish,hinglish,original_same_language,1,devanagari,False
father_of_nation_india__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
freedom_year__en,en,original_same_language,1,roman,True
freedom_year__en,en,strict_roman_forbidden_devanagari,1,roman,True
freedom_year__hi,hi,original_same_language,1,devanagari,True
freedom_year__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
freedom_year__hinglish,hinglish,original_same_language,1,devanagari,False
freedom_year__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
largest_ocean__en,en,original_same_language,1,roman,True
largest_ocean__en,en,strict_roman_forbidden_devanagari,1,roman,True
largest_ocean__hi,hi,original_same_language,1,devanagari,True
largest_ocean__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
largest_ocean__hinglish,hinglish,original_same_language,1,devanagari,False
largest_ocean__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
national_animal_india__en,en,original_same_language,1,roman,True
national_animal_india__en,en,strict_roman_forbidden_devanagari,1,roman,True
national_animal_india__hi,hi,original_same_language,1,devanagari,True
national_animal_india__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
national_animal_india__hinglish,hinglish,original_same_language,1,devanagari,False
national_animal_india__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
planets_count__en,en,original_same_language,1,roman,True
planets_count__en,en,strict_roman_forbidden_devanagari,1,roman,True
planets_count__hi,hi,original_same_language,1,devanagari,True
planets_count__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
planets_count__hinglish,hinglish,original_same_language,1,devanagari,False
planets_count__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
sun_rise_direction__en,en,original_same_language,1,roman,True
sun_rise_direction__en,en,strict_roman_forbidden_devanagari,1,roman,True
sun_rise_direction__hi,hi,original_same_language,1,devanagari,True
sun_rise_direction__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
sun_rise_direction__hinglish,hinglish,original_same_language,1,roman,True
sun_rise_direction__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
water_formula__en,en,original_same_language,1,roman,True
water_formula__en,en,strict_roman_forbidden_devanagari,1,roman,True
water_formula__hi,hi,original_same_language,1,devanagari,True
water_formula__hi,hi,strict_roman_forbidden_devanagari,1,devanagari,True
water_formula__hinglish,hinglish,original_same_language,1,devanagari,False
water_formula__hinglish,hinglish,strict_roman_forbidden_devanagari,1,roman,True
